,Executed Trade Price,Price of Stock,Qty,Basing Open,Basing High,Time
0,1.36,324.07,50.0,324.03,324.065,11:29:25
1,1.45,324.14,10.0,324.03,324.065,11:29:35
2,1.45,324.14,10.0,324.03,324.065,11:29:35
3,1.35,323.95,0.0,324.135,324.195,11:35:00
