,Executed Trade Price,Price of Stock,Qty,Basing Open,Basing High,Time
0,0.82,299.11,50.0,299.05,299.105,10:51:57
1,0.85,299.14,10.0,299.05,299.105,10:52:29
2,0.77,298.98,0.0,299.05,299.105,10:53:00
